SKU,Title,"Last Received","30 Days Item Sale",Quantity,"True Cost",D1,P1,"Sale Price","Date Updated",Competitor,"Previous Price",Price
APL-003-1670,"Front Bezel for iPhone 6S Plus - White (Premium)",N/A,0,0,1.99,4.58,3.69,2.89,"01/10/19 01:21 AM",mengtor,2.99,1.99
APL-003-1586,"Vibrator Motor for iPhone 6S Plus","11/14/18 04:16 PM",2,2,1.03,4.21,3.39,1.49,"01/10/19 02:01 AM",fixez,4.49,0
APL-001-2123,"Front Screen Glass for iPhone 6s Plus - White","02/29/16 01:35 PM",0,0,2.11,4.75,3.49,2.19,"01/10/19 02:40 AM",mengtor,2.99,1.99
APL-001-2252,"Glass With Frame for iPhone 6S Plus - Black",N/A,0,0,4.44,8.44,7.19,2.99,"01/10/19 03:00 AM",mengtor,2.99,1.99
APL-001-2254,"Front Glass Lens for iPhone 6S - White (Premium)",N/A,0,6,0,6.99,0,1.49,"01/10/19 03:00 AM",mengtor,1.5,1.25
APL-003-0366,"iPhone 4 4S Phillips Cross Replacement Screws","12/01/15 02:16 PM",0,2,0.16,2.05,1.79,0.69,"01/10/19 03:40 AM",mengtor,0.2,0.1
APL-003-0462,"iPhone 4S Home Button - Black",N/A,0,175,0,2.95,0.69,0.69,"01/10/19 04:01 AM",mengtor,0.4,0.1
APL-003-0594,"Pentalobe Star Screws for iPhone 5 Black","10/04/17 02:24 PM",0,6,0.23,1.61,0.99,0.39,"01/10/19 04:20 AM",mengtor,0.3,0.1
APL-003-1160,"Earpiece Audio Speaker for iPhone 5","08/15/18 12:53 PM",2,10,0.49,1.5,1.29,0.69,"01/10/19 05:21 AM",mengtor,0.3,0.1
APL-003-1350,"Vibrator Motor for iPhone 5S SE","07/27/18 04:39 PM",0,6,0.38,2.3,1.99,1.29,"01/10/19 06:40 AM",mengtor,0,0.2
APL-003-1426,"Home Button Assembly for iPhone 6 & 6 Plus  White / Gold","10/23/18 10:09 AM",12,8,1.06,4.09,4.09,1.49,"01/10/19 07:01 AM",mengtor,1.59,1.48
APL-003-1428,"Home Button Assembly for iPhone 6 & 6 Plus  Black","12/31/18 01:34 PM",37,21,1.48,4.09,4.09,1.49,"01/10/19 07:20 AM",mengtor,1.59,1.48
APL-003-1446,"Charging Dock Port & Headphone Jack Flex Cable for iPhone 6 Plus White","01/03/19 12:10 PM",12,0,3.55,8.99,8.99,4.69,"01/10/19 07:40 AM",mengtor,2.95,2.68
APL-003-1502,"Charging Port with Flex Cable Earphone Jack and Mic for iPhone 6 Plus - Gray","12/13/18 01:38 PM",14,0,3.39,8.99,8.99,4.29,"01/10/19 08:00 AM",mengtor,2.95,2.68
APL-003-1507,"Charging Port with Flex Cable Earphone Jack and Mic for iPhone 6 Plus - Dark Gray","12/04/18 03:51 PM",10,0,3.13,8.99,8.99,4.09,"01/10/19 08:01 AM",mengtor,2.95,2.68
APL-003-1568,"Power Button Flex Cable for Apple iPad Mini 4 ","08/24/17 02:40 PM",0,3,1.47,4.255,3.49,2.99,"01/10/19 09:01 AM",mengtor,1.5,1.48
APL-003-1574,"Earpiece Speaker for iPhone 6s","12/31/18 01:34 PM",6,20,0.89,1.89,1.89,0.89,"01/10/19 09:20 AM",mengtor,0.6,0.5
APL-001-2289,"LCD and Touch Screen Digitizer for iPhone 6 Plus - Black (Aftermarket)","04/25/18 12:36 PM",0,0,12.25,16.99,29.99,14.49,"01/10/19 09:21 AM",mobile_sentrix,13.1,13
APL-001-0282,"LCD and Touch Screen Digitizer for iPhone 4S White","12/27/18 01:50 PM",1,10,9.39,17.95,17.95,10.59,"01/10/19 09:40 AM",mobile_sentrix,9.06,9.08
APL-001-2117,"LCD Touch Screen Digitizer Assembly for iPhone 5 - Black (Aftermarket)","11/23/16 01:16 PM",0,0,14.84,11.99,18.99,8.99,"01/10/19 09:59 AM",maya_cellular,0,8.95
APL-001-2282,"LCD Touch Screen Digitizer Assembly for iPhone 5 - White (Aftermarket)","12/13/16 10:22 AM",0,0,14.05,11.99,18.99,8.99,"01/10/19 09:59 AM",maya_cellular,0,8.95
APL-001-2147,"LCD Touch Screen Digitizer Assembly for iPhone 5C - Black (Aftermarket)","05/04/18 03:36 PM",0,2,14.99,11.99,100,8.99,"01/10/19 09:59 AM",maya_cellular,0,8.95
APL-001-2085,"LCD Touch Screen Digitizer Assembly for iPhone 5S - White (Aftermarket)","11/02/18 02:37 PM",0,2,7.75,11.99,100,8.99,"01/10/19 09:59 AM",maya_cellular,0,8.95
APL-001-2112,"LCD Touch Screen Digitizer Assembly for iPhone 5S - Black (Aftermarket)","12/13/16 10:22 AM",0,1,13,11.99,18.99,8.99,"01/10/19 10:00 AM",maya_cellular,0,8.95
APL-001-2115,"LCD and Touch Screen Digitizer for iPhone 6 - Black (Aftermarket)","04/25/18 12:36 PM",0,4,10.5,14.99,100,11.99,"01/10/19 10:00 AM",mobile_sentrix,11.01,11.65
APL-001-2115,"LCD and Touch Screen Digitizer for iPhone 6 - Black (Aftermarket)","04/25/18 12:36 PM",0,4,10.5,14.99,100,11.99,"01/10/19 10:00 AM",maya_cellular,0,10.95
APL-001-2114,"LCD and Touch Screen Digitizer for iPhone 6 - White (Aftermarket)","11/02/18 02:37 PM",6,0,9.64,14.99,22.99,11.99,"01/10/19 10:00 AM",maya_cellular,0,10.95
APL-001-2289,"LCD and Touch Screen Digitizer for iPhone 6 Plus - Black (Aftermarket)","04/25/18 12:36 PM",0,0,12.25,16.99,29.99,14.49,"01/10/19 10:00 AM",mengtor,14.2,0
