SKU,Title,Quantity,"30 Days Item Sale","Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
ACC-ZED-566,"Samsung Galaxy S5 Tempered Glass Screen Protector",38,0,2.30,6.78,0.00,0.34,3.9900,1.9900,0.9900,1.09,4.99,,,,,,,
ACC-ZED-758,"LCD Polarizer for Samsung Galaxy S3",30,0,1.00,6.50,1.24,0.34,1.1900,0.7900,0.4900,14.58,,,0.00,,,,,
ACC-ZRT-314,"Phone Repair Spudger",30,11,1.00,6.70,3.08,0.61,1.9900,0.7900,0.9900,,0.00,,,,,,,
ACC-ZRT-451,"iPhone and iPad Side Wall Repair Repair Tool",3,0,390.00,6.80,1.32,57.55,149.9900,99.9900,76.2900,0.00,,,,,,,,
ACC-ZRT-489,"Front Glass Adhesive Replacement for Samsung Galaxy S7",0,0,2.00,6.39,2.01,0.63,1.9900,1.4900,0.9900,0.89,2.49,,,,,,,
ACC-ZRT-511,"LCD Bezel Frame Adhesive Tape for iPhone 7(4.7 inches) - Black",23,11,3.00,6.70,3.35,0.95,1.9900,,0.9900,0.46,0.00,0.00,,,,,,
ACC-ZRT-512,"LCD Bezel Frame Adhesive Tape for iPhone 7 Plus (5.5 inches) - Black",37,3,0.35,1.00,0.43,0.78,2.9900,,0.9900,0.00,,,,,,,,
APL-001-0006,"Digitizer Touch Screen Glass for iPhone 3G Black",6,0,15.00,6.12,2.02,2.78,6.2550,4.5900,1.9900,,,,,,,,0.00,
APL-001-0030,"Touch Screen Digitizer Glass for iPhone 3GS Black",3,0,20.00,6.85,0.69,3.02,4.9500,4.6900,1.4900,,,,,10.44,,,0.00,
APL-001-0036,"Touch Screen Digitizer Glass for iPhone 3GS White",1,0,0.00,0.00,0.00,0.00,4.9500,4.8900,1.4900,,,,,,,,0.00,
APL-001-0090,"LCD Screen for iPhone 3GS",29,0,0.00,0.00,0.00,0.00,15.9500,15.0900,2.9900,,11.49,,,13.66,,,0.00,
APL-001-0096,"LCD and Touch Screen Digitizer for ATT iPhone 4 Black",4,2,7.06,1.00,0.43,7.49,17.9500,12.9900,10.3900,8.75,14.49,0.00,0.00,14.78,0.00,0.00,0.00,11.00
APL-001-0098S,"LCD and Touch Screen Digitizer Full Set for ATT iPhone 4  Black",0,0,0.00,0.00,0.00,0.00,13.9900,20.9900,13.9900,,19.99,13.98,13.99,,,,,
APL-001-0102,"LCD and Touch Screen Digitizer for ATT iPhone 4 White",6,0,7.06,1.00,0.43,7.49,17.9500,10.8900,10.8900,9.99,14.49,0.00,0.00,0.00,0.00,0.00,0.00,11.00
APL-001-0104S,"LCD and Touch Screen Digitizer Full Set for ATT iPhone 4  White",0,0,0.00,0.00,0.00,0.00,22.9500,,0.0000,,,13.50,,,,,,
APL-001-0186,"LCD and Touch Screen Digitizer for Verizon/Sprint iPhone 4 Black",4,1,60.00,6.85,4.29,9.39,17.9500,17.9500,10.3900,9.24,14.49,0.00,0.00,0.00,0.00,0.00,0.00,11.00
APL-001-0188S,"LCD and Touch Screen Digitizer Full Set for Verizon/Sprint iPhone 4 Black",0,0,0.00,0.00,0.00,0.00,22.9500,20.9900,13.4900,,19.49,13.50,,,,,,
APL-001-0192,"LCD and Touch Screen Digitizer for Verizon/Sprint iPhone 4 White",3,1,60.00,6.72,1.28,9.12,17.9500,10.5900,10.5900,0.00,14.49,0.00,0.00,,0.00,0.00,0.00,11.00
APL-001-0194S,"LCD and Touch Screen Digitizer Full Set for Verizon/Sprint iPhone 4 White",0,0,0.00,0.00,0.00,0.00,22.9500,20.9900,11.9900,,,13.50,,,,,,
APL-001-0276,"LCD and Touch Screen Digitizer for iPhone 4S Black",6,5,7.06,1.00,0.43,7.49,17.9500,17.9500,10.5900,9.15,14.49,0.00,0.00,14.34,9.95,0.00,0.00,14.99
APL-001-0282,"LCD and Touch Screen Digitizer for iPhone 4S White",10,7,60.00,6.70,3.01,9.40,17.9500,17.9500,10.5900,0.00,14.49,0.00,0.00,14.34,0.00,0.00,0.00,14.99
APL-001-0284S,"LCD and Touch Screen Digitizer Full Set for iPhone 4S White",0,0,0.00,0.00,0.00,0.00,22.9500,20.9900,13.9900,,,13.50,,,,,,
APL-001-0402,"Touch Screen Digitizer for iPad 1 - Black (Standard)",0,0,70.00,6.12,3.11,11.95,18.5225,14.9900,14.9900,,19.49,,,,,,0.00,
APL-001-0408,"LCD Screen for iPad 1",2,0,200.00,6.60,7.58,31.45,52.8550,39.9900,39.9900,,0.00,,,49.18,,,0.00,34.99
APL-001-0410,"LCD and Touch Screen Digitizer for iPhone 5 - Black (Aftermarket Premium / Economy Plus)",111,17,7.50,1.00,0.00,7.50,16.9900,16.9900,9.9900,10.04,14.49,8.60,10.99,12.14,8.95,0.00,0.00,9.99
