SKU,Title,Quantity,"30 Days Item Sale","Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
APL-001-0006,"Digitizer Touch Screen Glass for iPhone 3G Black",8,0,15.00,6.12,2.02,2.78,6.2550,4.5900,1.9900,,,,,,,,7.00,
APL-001-0030,"Touch Screen Digitizer Glass for iPhone 3GS Black",4,0,20.00,6.85,0.69,3.02,4.9500,4.6900,1.4900,,,,,10.75,,,6.00,
APL-001-0036,"Touch Screen Digitizer Glass for iPhone 3GS White",1,0,0.00,0.00,0.00,0.00,4.9500,4.8900,1.4900,,,,,,,,6.00,
APL-001-2100,"LCD and Touch Screen Digitizer Assembly for iPhone 6 Plus - White (Premium) - Grade B",4,0,0.00,0.00,0.00,0.00,37.9900,,0.0000,48.23,44.95,,51.99,,,,,
APL-002-0756,"Middle Chassis Midframe Bezel Complete Assembly for iPhone 4S Silver/Black",0,0,0.00,0.00,0.00,0.00,32.9500,31.9900,29.9900,,,,,34.30,,,,
APL-002-0825,"Touch Screen Digitizer Frame Bezel for iPhone 5 Black",151,0,3.00,6.50,1.36,0.67,1.6800,1.4900,0.3900,,,,,2.05,,,,
APL-002-0827,"Touch Screen Digitizer Frame Bezel for iPhone 5 White",144,0,3.00,6.50,1.36,0.67,1.6800,1.4900,0.3900,,,,,2.05,,,,
APL-002-6424,"Front Bezel LCD Holder for iPhone 6 - White (Premium)",2,0,8.00,6.88,1.36,1.36,3.8200,3.0900,0.3900,,,,,6.09,,,,
APL-003-0360,"iPhone 4 4S Ear Speaker Dust Mesh with Adhesive - Silver",1609,0,1.00,6.32,0.00,0.16,0.5600,0.3900,0.0000,,,,,,,,1.00,
APL-003-0634,"Top Bottom Glass Cover for iPhone 5 White",7,0,4.00,6.30,0.31,0.68,2.2250,1.8900,1.9900,,,,,2.23,,,,
APL-003-0635,"Top Bottom Glass Cover for iPhone 5 Black",16,0,4.00,6.82,5.88,1.45,2.2250,1.8900,1.9900,,,,,2.23,,,,
APL-003-0786,"Bluetooth Signal Antenna Flex Cable for iPad 1",2,0,8.00,6.43,4.06,1.88,4.3200,3.4900,3.9900,,,,,4.40,,,,
APL-003-1062,"Headphone Audio Jack Flex Cable for iPad 2 WiFi (EMC 2560)",4,0,8.00,6.88,4.11,1.76,3.4960,2.8900,0.0000,,,,,,,,5.00,
APL-003-1154,"Metal Enclosures for iPhone 5 Black",3,0,5.00,6.50,1.72,1.03,2.6900,2.0900,0.0000,,,,4.99,,,,,
APL-003-1162,"Metal Enclosures for iPhone 5 Silver",5,0,3.00,6.50,1.05,0.62,1.6250,1.3900,0.0000,,,,2.99,,,,,
APL-003-1246,"FPC Battery Connector Clip for iPhone 4",13,0,2.00,6.50,1.41,0.52,2.9500,0.5900,0.4900,,,,3.99,,,,,
APL-003-1468,"Home Button for iPod Touch 4 Black",4,0,3.00,6.43,4.06,1.10,2.6400,2.0900,0.0000,,,,,,,,3.00,
APL-003-1470,"Home Button for iPod Touch 4 White",1,0,2.00,6.32,1.50,0.55,1.3800,1.1900,0.0000,,,,,,,,3.00,
APL-003-1524,"Audio Flex Cable for iPod Nano 6 - White",0,0,0.00,0.00,0.00,0.00,1.9500,1.9900,1.7900,,2.50,,,2.35,,,,
APL-003-1550,"Home Button Flex with Home Button for iPad Mini 3 - Black",5,2,15.00,6.39,1.67,2.61,3.5300,2.7900,3.9900,5.64,4.50,3.99,5.99,11.00,,,4.00,7.99
APL-003-1551," Home Button Flex with Home Button for iPad Mini 3 - White",7,0,15.00,6.30,1.67,2.65,2.8600,2.2900,3.9900,5.77,4.50,3.99,5.99,,,,4.00,7.99
APL-003-1652,"Loudspeaker Replacement for iPad Mini 1/2",6,0,9.00,6.88,4.11,1.91,3.1700,2.4900,0.0000,,,,,3.91,,,,
APL-003-1657,"Charging Port Replacement for iPad Mini 3 - White",2,5,9.00,6.45,0.94,1.54,4.1200,3.3900,0.0000,,,,,,,,6.00,
APL-003-1658,"Charging Port Replacement for iPad Mini 3 - Black",0,5,12.00,6.32,0.95,2.05,4.1200,3.3900,0.0000,,,,,,,,6.00,
APL-003-1699,"LCD Shield Plate for iPhone 5C",4,0,3.00,6.82,1.06,0.60,1.5000,1.2900,1.3900,,,,,1.56,,,,
BKB-MOD-048,"Blackberry Bold 9000 Faceplate Cover Lens - Black",8,0,0.00,0.00,0.00,0.00,1.9500,1.9900,0.9900,,,,,6.10,,,,
BKB-MOD-488,"BlackBerry Bold 9900 1230mAh Replacement Battery",15,0,12.00,6.70,8.13,3.00,6.7500,4.9900,0.9900,,,,,7.04,,,,
BT-BP-30024,"BinTEK™ HTC Droid Incredible 4G LTE BTR6410B 1700mAH Li-Ion Premium Battery",0,0,0.00,0.00,0.00,0.00,7.9900,7.9900,4.9900,,,,,9.60,,,,
BT-BP-30056,"BinTEK™ Battery for Samsung Galaxy S EB575152VU 1500mAH Li-Ion Premium ",6,0,13.00,6.43,0.00,2.02,7.9900,7.9900,0.9900,,,,,11.77,,,,
BT-BP-30080,"BinTEK™ Battery for Samsung Galaxy S5 Mini EB-BG800BBE 2100mAH Li-Ion Premium ",9,0,15.00,6.70,6.01,3.14,7.9900,7.9900,4.9900,,,,,13.36,,,,
BT-BP-30092,"BinTEK™ Motorola Razr XT910 Motorola Droid Razr XT912 EB20 1750mAH Li-Polymer Premium Battery",0,0,21.00,6.70,6.01,4.03,12.9900,12.9900,6.9900,,,,,,,,,14.99
BT-BP-30104,"BinTEK™ Nokia Lumia 635 630 636 638 BL-5H 1830mAH Li-Ion Premium Battery",20,0,20.00,6.70,6.01,3.88,7.9900,7.9900,5.9900,,,,,19.14,,,,
BT-BP-30106,"BinTEK™ HTC Desire 601 BM65100 2100mAH Li-Ion Premium Battery",10,0,4.20,1.00,2.12,6.32,12.9900,12.9900,0.9900,,,,,15.31,,,,
BT-BP-30200,"BinTEK™ LG Leon BL-41ZH 1820mAh Li-Ion Premium Battery",23,0,19.00,6.43,0.00,2.95,7.9900,7.9900,1.9900,,,,,,,,8.00,
BTY-COV-118,"Midframe Bezel for Samsung Galaxy S3 i535 R530 - Silver",0,0,15.00,6.43,6.79,3.39,7.1200,5.5900,0.0000,,,,,,,,8.00,
BTY-COV-120,"Midframe Bezel for Samsung Galaxy S3 L710 - Silver",22,0,0.00,0.00,0.00,0.00,7.9500,4.9900,0.9900,,,,,,,,8.00,
BTY-COV-122,"Midframe Bezel for Samsung Galaxy S3 i747 T999 -  Silver",2,0,18.00,6.88,6.37,3.54,7.1600,5.6900,0.9900,,,,,,,,8.00,
BTY-COV-140,"Battery Door for Samsung Galaxy Note 2 i605 Verizon - White",0,0,9.00,6.88,0.15,1.33,3.9560,3.1900,0.0000,,,,,,,,8.00,
BTY-COV-1509,"Rear Housing Frame for Samsung Galaxy S3 i9300 - White",2,0,0.00,0.00,0.00,0.00,3.0000,,0.9900,,,,,,,,11.00,
BTY-COV-1558,"Battery Door for Samsung Galaxy Note 2 N7105 - Gray",0,0,8.50,6.50,0.79,1.43,3.8400,3.0900,0.0000,,4.50,,,,,,,
BTY-COV-1641,"Front Bezel Frame for LG G3 - Gold",1,0,30.00,6.46,1.79,4.92,9.3500,7.8900,0.0000,,,,,,,,12.00,
BTY-COV-1642,"Front Bezel Frame for LG G3 - White",4,0,30.00,6.85,3.59,4.90,9.3500,7.8900,0.0000,,,,,11.02,,,12.00,
BTY-COV-1667,"Midframe for Galaxy S6 Edge G925V G925P - White",1,0,110.00,6.60,5.73,17.53,25.4200,23.3900,9.9900,,,,,31.79,,,,
BTY-COV-1668,"Midframe Replacement for Samsung Galaxy S6 Edge G925T G925A - White",2,0,85.00,6.65,2.77,13.20,25.4200,,0.0000,,,,,31.80,,,,
BTY-COV-1670,"Midframe Replacement for Samsung Galaxy S6 Edge G925T G925A - Gold",0,0,0.00,0.00,0.00,0.00,25.4200,,0.0000,,,,,30.69,,,,
BTY-COV-204,"Back Battery Door Cover for Samsung Galaxy Mega 6.3 – Black",0,0,9.00,6.88,6.02,2.18,3.7950,3.0900,0.0000,,,,,,,,,4.99
BTY-COV-370,"HTC ONE SV Back Battery Door Cover Red",8,0,0.00,0.00,0.00,0.00,4.9500,,0.4900,,,,,5.48,,,,
BTY-COV-376,"Motorola MOTO X XT1060 Midframe Housing Lower",3,0,0.00,0.00,0.00,0.00,7.9500,,0.4900,,,,,11.04,,,,
BTY-COV-470,"Midframe Bezel for Samsung Galaxy S4 i9500  - Silver",0,0,15.00,6.56,0.00,2.29,7.0140,5.5900,0.9900,,,,,,,,8.00,
BTY-COV-508,"Back Battery Door Cover for Samsung Galaxy S5 - White",0,0,9.00,6.85,3.03,1.76,3.9560,3.1900,0.0000,,,,,,,,4.00,4.99
BTY-COV-606,"Midframe Bezel for Samsung Galaxy S5 - White",2,0,15.00,6.12,4.92,3.25,6.8250,5.3900,0.0000,,,,,,,,10.00,9.99
BTY-HTC-006,"HTC Amaze 4G BG86100 Replacement Battery",0,0,0.00,0.00,0.00,0.00,6.9500,2.9900,0.0000,,,,,7.63,,,,
BTY-HTC-036,"HTC Desire S Freestyle BB96100 Replacement Battery",37,0,0.00,0.00,0.00,0.00,6.9500,2.9900,0.0000,,,,,7.63,,,,
BTY-HTC-042,"HTC Hero S BH11100 Replacement Battery",1,0,0.00,0.00,0.00,0.00,6.9500,2.9900,0.0000,,,,,9.60,,,,
BTY-SAM-090,"Battery for Samsung Galaxy Tab 3 7.0 T210 T211 T4000E 4000mAh",0,0,20.00,6.60,10.00,4.55,8.6450,7.2900,7.9900,,12.99,,,,,,,
BTY-SAM-095,"Battery for Samsung Galaxy Tab 2 7.0 4000mAh ",0,0,4.19,1.00,0.54,4.73,8.9870,7.5900,0.0000,,14.00,,,,,,,
FLX-HTC-192,"HTC Inspire  Sim Card Ribbon Flex Cable",5,0,0.00,0.00,0.00,0.00,5.9500,3.1900,0.9900,,,,,7.32,,,,
FLX-HTC-324,"HTC Rhyme Main Phone Flex Cable",9,0,0.00,0.00,0.00,0.00,7.9500,5.1900,0.9900,,,,,16.48,,,,
FLX-HTC-366,"HTC Sensation XL Sim Card Socket Slot Tray Flex Cable",8,0,0.00,0.00,0.00,0.00,4.9500,2.9900,0.9900,,,,,5.49,,,,
FLX-HTC-432,"HTC Evo 3D Back Camera Flex Cable",5,0,0.00,0.00,0.00,0.00,5.9500,3.1900,0.9900,,,,,22.01,,,,
FLX-HTC-504,"HTC Windows 8X 6990L Front Camera Flex",5,0,0.00,0.00,0.00,0.00,6.9500,,0.9900,,,,,8.29,,,,
