SKU,"Product Name",Quantity,Price,"Sub Total"
APL-001-2371,"LCD and Touch Screen Digitizer for iPhone 7 Plus - White (Economy Plus)",4,23.99,95.96
APL-001-2311,"LCD and Touch Screen Digitizer for iPhone 6S Plus - Black (Economy Plus)",5,21.89,109.45
APL-001-2310,"LCD and Touch Screen Digitizer for iPhone 6S Plus - White (Economy Plus)",5,21.89,109.45
APL-001-2299,"LCD and Touch Screen Digitizer for iPhone 6S - White (Economy Plus) ",5,20.99,104.95
APL-001-2309,"LCD and Touch Screen Digitizer for iPhone 6 - White (Economy Plus)",8,14.99,119.92
APL-001-2308,"LCD and Touch Screen Digitizer for iPhone 6 - Black (Economy Plus)",6,14.99,89.94
APL-001-0728,"LCD and Touch Screen Digitizer for iPhone 5S - White (Economy Plus)",3,10.99,32.97
BT-BP-30004,"BinTEK™ iPhone 4S 1430mAH Li-Ion Premium Battery",2,4.99,9.98
ACC-ZED-778,"iPhone 5/5S/SE Tempered Glass Screen Protector with Cleaning Kit - Pack of 25",1,14.99,14.99
ACC-ZED-797,"iPhone 7 Tempered Glass Screen Protector with Cleaning Kit - Pack of 25",1,16.99,16.99
ACC-ZED-777,"iPhone 6 6S Tempered Glass Screen Protector with Cleaning Kit - Pack of 25",1,14.99,14.99
ACC-ZED-779,"iPhone 6 Plus/6S Plus Tempered Glass Screen Protector with Cleaning Kit - Pack of 25",1,16.99,16.99
APL-001-2080,"LCD and Touch Screen Digitizer for iPhone 5S SE White (Premium)",3,16.99,50.97
APL-001-2047,"LCD and Touch Screen Digitizer for iPad Air 2 - White",1,179.99,179.99
APL-003-1600,"Front Camera with Proximity Sensor and Microphone for iPhone 6s Plus",3,6.99,20.97
APL-003-1310,"Front Camera with Proximity Sensor Flex Cable for iPhone 5S SE",3,3.49,10.47
APL-003-1502,"Charging Port with Flex Cable Earphone Jack and Mic for iPhone 6 Plus - Gray",2,3.49,6.98
BT-BP-30010,"BinTEK™ Battery for iPhone 6 1810mAH Li-Ion Premium ",7,8.49,59.43
APL-003-1573,"Charging Port and Headphone Jack Flex Cable for iPhone 6s – Gray",2,3.99,7.98
SRN-SAM-1617,"LCD and Touch Screen Digitize for Samsung Galaxy S4 - Black Mist (Standard) ",1,52.99,52.99
APL-003-1504,"Back Flex Cable for iPhone 6 Plus",3,1.69,5.07
APL-001-2370,"LCD and Touch Screen Digitizer for iPhone 7 - White (Economy Plus)",5,20.99,104.95
BT-BP-30008,"BinTEK™ Battery for iPhone 5S/5C 1560mAH Li-Ion Premium ",5,6.99,34.95
BT-BP-30192,"BinTEK™ Battery for iPhone 6S 1715mAH Li-Po Premium ",3,8.99,26.97
APL-001-2259,"LCD and Touch Screen Digitizer for iPod Touch 6 - White",2,38.79,77.58
APL-001-2369,"LCD and Touch Screen Digitizer for iPhone 7 - Black (Economy Plus)",3,20.99,62.97
APL-001-2094,"LCD and Touch Screen Digitizer for iPhone 6 Plus - White (Premium)",2,42.99,85.98
