SKU,Title,"Raw Cost","Ex Rate","Shipping Fee","True Cost","Sale Price",MS,FZ,MG,MD
SRN-SAM-686,"Galaxy Note 3 N9000 N900A N900T N900P N900V LCD Digitizer Touch Screen Gray - New",730.00,6.82,7.74,108.17,0.0000,110.00,137.99,144.98,139.99
APL-003-0006,"3 Megapixel Replacement Camera for iPhone 3GS",0.00,0.00,0.00,0.00,0.0000,,,,1.49
APL-003-0036,"Metal Bracket for Mute Key for iPhone 3G 3GS",0.00,0.00,0.00,0.00,0.0000,,,0.30,
APL-003-0042,"Proximity Sensor with Bracket for iPhone 3G 3GS",0.00,0.00,0.00,0.00,0.0000,,,,1.99
APL-003-0084,"Vibrator Motor for iPhone 3G 3GS",0.00,0.00,0.00,0.00,0.0000,,,0.60,1.49
APL-003-0102,"Vibrator Mute On/Off Switch for iPhone 3G 3GS Black",0.00,0.00,0.00,0.00,0.0000,,,0.30,
APL-003-0108,"Vibrator Mute On/Off Switch for iPhone 3G 3GS White",0.00,0.00,0.00,0.00,0.0000,,,0.30,
APL-003-0114,"Complete Replacement Screws Set for iPhone 3G 3GS",0.00,0.00,0.00,0.00,0.0000,,,0.30,
APL-003-0156,"Replacement Home Button with Flex for iPhone 3G 3GS Cable Green",0.00,0.00,0.00,0.00,0.0000,,,,1.99
APL-003-0174,"iPhone 3G 3GS Replacement Home Button with Flex Cable - Red",0.00,0.00,0.00,0.00,0.0000,,,,0.49
APL-003-0186,"iPhone 3G 3GS Headphone Audio Flex Ribbon Cable Jack - Black",0.00,0.00,0.00,0.00,0.0000,,,,1.99
APL-003-0192,"ATT iPhone 4 Proximity Light Sensor Power Flex",9.00,6.85,1.96,1.60,0.0000,2.19,7.99,,1.99
APL-003-0210,"ATT iPhone 4 Camera Front-Facing",0.00,0.00,0.00,0.00,0.0000,3.49,,0.99,1.49
APL-003-0216,"ATT iPhone 4 Signal Antenna Cover Cable",5.00,6.14,2.16,1.17,0.0000,,,,0.99
APL-003-0288,"iPhone 4 Home Button - Green",0.00,0.00,0.00,0.00,0.0000,,,0.30,1.49
APL-003-0294,"iPhone 4 Home Button - Yellow",0.00,0.00,0.00,0.00,0.0000,,,0.30,1.49
APL-003-0300,"iPhone 4 Home Button - Dark Blue",0.00,0.00,0.00,0.00,0.0000,,,0.30,1.49
APL-003-0306,"iPhone 4 Home Button - Baby Blue",0.00,0.00,0.00,0.00,0.0000,,,0.30,1.49
APL-003-0312,"iPhone 4 Home Button - Transparent",0.00,0.00,0.00,0.00,0.0000,,,0.30,1.49
APL-003-0318,"iPhone 4 Home Button - Chrome Mirror",0.00,0.00,0.00,0.00,0.0000,,,0.30,1.49
APL-003-0324,"Verizon/Sprint iPhone 4 Signal Antenna Metal Cover Cable",0.00,0.00,0.00,0.00,0.0000,,,,0.49
APL-003-0330,"Verizon/Sprint iPhone 4 Charging Port Flex Cable Ribbon - Black",10.00,6.85,1.44,1.67,0.0000,2.99,7.99,,1.99
APL-003-0336,"Verizon/Sprint iPhone 4 Headphone Audio Flex Ribbon Cable",12.00,6.10,0.90,2.11,0.0000,2.99,,,1.49
APL-003-0342,"Verizon/Sprint iPhone 4 Proximity Light Sensor Power Flex",7.00,6.32,0.83,1.24,0.0000,2.39,7.99,,1.99
APL-003-0366,"iPhone 4 4S Phillips Cross Replacement Screws",1.00,6.32,0.00,0.16,0.0000,,,0.30,1.99
APL-003-0462,"iPhone 4S Home Button - Black",0.00,0.00,0.00,0.00,0.0000,1.49,,0.60,
APL-003-0468,"iPhone 4S Home Button - Chrome Mirror",0.00,0.00,0.00,0.00,0.0000,,,0.60,
APL-003-0480,"iPhone 4S Home Button - Green",0.00,0.00,0.00,0.00,0.0000,,,0.30,
APL-003-0486,"iPhone 4S Home Button - Pink",0.00,0.00,0.00,0.00,0.0000,,,0.30,
APL-003-0492,"iPhone 4S Home Button - Red",0.00,0.00,0.00,0.00,0.0000,,,0.30,
APL-003-0498,"iPhone 4S Home Button - Transparent",0.00,0.00,0.00,0.00,0.0000,,,0.60,
APL-003-0504,"iPhone 4S Home Button - White",1.50,6.88,0.15,0.24,0.0000,,,0.60,
APL-003-0510,"iPhone 4S Home Button - Yellow",0.00,0.00,0.00,0.00,0.0000,,,0.30,
APL-003-0516,"iPhone 4S Home Button - Baby Blue",0.00,0.00,0.00,0.00,0.0000,,,0.30,
APL-003-0522,"Front Camera with Proximity Sensor Flex Cable for iPhone 5",7.00,6.88,1.13,1.18,0.0000,1.79,7.99,1.68,2.99
APL-003-0528,"iPhone 5 Back Camera Flex Cable",20.00,6.88,0.15,2.93,0.0000,3.75,9.99,3.99,5.99
APL-003-0534,"iPhone 5 Mute Volume Power Metal Buttons - Black",7.00,6.43,1.41,1.31,0.0000,1.99,,0.99,0.00
APL-003-0540,"iPhone 5 Mute Volume Power Metal Buttons - White",6.00,6.50,1.90,1.22,0.0000,1.99,,0.99,0.99
APL-003-0546,"iPhone 5 Vibrator Motor",6.00,6.50,1.94,1.22,0.0000,2.98,3.99,,1.99
