SKU,Title,"Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
APL-003-0012,"Charger Port Loudspeaker Dock Assembly Flex Cable for iPhone 3GS",0.00,0.00,0.00,0.00,5.9500,3.5900,0.0000,,7.99,,,,,,,
APL-003-0222,"ATT iPhone 4 Wifi Antenna Metal Cover",2.00,6.85,0.68,0.39,1.5750,0.9900,0.0000,3.29,,,,,,,,
APL-003-0246,"iPhone 4 Home Button Flex Cable",1.00,6.88,0.15,0.17,1.6100,0.9900,0.0000,,2.99,,1.99,,,,,
APL-003-0354,"iPhone 4 4S Loudspeaker Module",2.00,6.88,0.15,0.31,1.4500,1.2900,0.0000,2.25,,,3.99,,,,,
APL-003-0372,"iPhone 4 4S Pentalobe Star Replacement Screws",1.00,6.82,1.80,0.41,1.4400,0.8600,0.0000,3.99,,,,,,,,
APL-003-0660,"Audio Headphone Jack Flex Cable for iPod Touch 2 3",0.00,0.00,0.00,0.00,4.9500,2.1900,0.0000,,4.99,,,,,,,
APL-003-1020,"Microphone Flex Cable for iPad Mini",6.00,6.85,2.16,1.19,2.8800,2.2200,0.0000,4.50,,,,,,,,
APL-001-0192,"LCD and Touch Screen Digitizer for Verizon/Sprint iPhone 4 White",70.00,6.89,1.72,10.41,9.0700,13.9900,0.0000,11.50,19.99,13.98,,,,,,
APL-001-0402,"Touch Screen Digitizer for iPad 1 Black",70.00,6.12,3.11,11.95,18.5225,16.3900,0.0000,,22.99,,,,,,,
SRN-HTC-420,"HTC Thunderbolt LCD + Touch Screen Digitizer",90.00,6.32,0.00,14.24,23.4900,21.1900,0.0000,,37.99,,,,,,,
SRN-HTC-540,"HTC Windows 8x LCD Screen Touch Screen Digitizer Assembly",110.00,6.50,3.11,17.40,26.7800,24.5900,0.0000,,27.99,,,,,,,
SRN-MOT-096,"Motorola Droid Razr XT910 XT912 LCD + Touch Screen Digitizer",90.00,6.43,6.79,15.05,22.5800,20.3900,0.0000,,,,25.99,,,,,
APL-003-1038,"Short Antenna for iPad 3 3G",4.00,6.10,0.90,0.80,2.0000,1.6900,0.0000,2.59,,,,,,,,
APL-003-1050,"Back Camera Flex Cable for iPad 3",25.00,6.88,0.15,3.66,3.9800,3.2900,0.0000,5.99,9.99,5.99,5.99,,,,,
APL-003-1122,"Front Camera Flex Cable for iPad 4",8.00,6.60,1.44,1.43,3.4300,2.6900,0.0000,5.99,,,6.99,,,,,
APL-003-1146,"LCD Power Switch Key Connection Board (WIFI Version) for iPad 2",10.00,6.88,3.53,1.97,3.8400,3.0900,0.0000,8.99,9.99,5.50,,,,,,
SRN-SAM-180,"Samsung Galaxy S3 Glass - Black",0.00,0.00,0.00,0.00,3.9500,3.9900,0.0000,,7.99,,,,,,,
SRN-SAM-216,"Galaxy S3 T999 i747 i535 L710 LCD + Touch Screen Digitizer - Blue",50.00,6.85,10.29,8.80,12.2100,55.9900,0.0000,65.00,69.99,57.99,64.99,,,,,
FLX-SAM-570,"Samsung Galaxy Tab 2 10.1\" P5100 P5110 P5113 Power Volume Flex Cable",5.00,6.30,2.28,1.16,2.4720,1.9900,0.0000,2.59,,,,,,,,
BTY-COV-030,"Samsung Galaxy S3 i535 Back Battery Door Cover - Pebble Blue",8.00,6.12,3.96,1.95,4.4850,3.6900,0.0000,,7.99,,,,,,,
SRN-LGM-127,"LG Optimus G Sprint LS970 LCD + Digitizer Touch Screen Assembly",180.00,6.82,8.90,27.70,38.1600,35.4400,0.0000,,47.99,,,,,,,
SRN-SAM-133,"Galaxy S3 i535 R530 LCD + Touch Screen Digitizer with Frame - White",310.00,6.88,1.59,45.29,16.9100,59.9900,0.0000,55.00,,,64.99,,,,,
SRN-SAM-240,"Galaxy S3 i535 R530 LCD + Touch Screen Digitizer with Frame - Blue",38.00,1.00,0.00,38.00,18.6500,59.9900,0.0000,55.00,,,64.99,,,,,
SRN-SAM-244,"Galaxy S4 i9500 i9505 i337 M919 i545 L720 R970 Replacement Glass – Black Mist",6.00,6.85,3.85,1.44,2.6600,2.0900,0.0000,,6.99,,,,,,,
APL-003-1154,"Metal Enclosures for iPhone 5 Black",5.00,6.50,1.72,1.03,2.6900,2.0900,0.0000,,,,4.99,,,,,
APL-003-1162,"Metal Enclosures for iPhone 5 Silver",3.00,6.50,1.05,0.62,1.6250,1.3900,0.0000,,,,2.99,,,,,
SRN-SAM-248,"Galaxy Note 2 LCD + Digitizer Touch Screen - Gray - No Frame",390.00,6.89,8.13,57.78,16.1600,79.9900,0.0000,79.99,117.99,72.99,85.99,,,,,
APL-003-1198,"Home Replacement Button With Rubber Bracket for iPhone 4S Black",2.50,6.85,1.44,0.58,1.9750,1.6900,0.0000,,,,1.99,,,,,
TAB-SRN-152,"Samsung Galaxy Note N8000 10.1 Touch Screen Digitizer - Black",45.00,6.12,1.79,7.65,13.0050,10.4900,0.0000,,,13.50,,,,,,
FLX-SAM-737,"Samsung Galaxy S4 i9500 i9505 i337 M919 i545 L720 Home Button - White",2.00,6.50,1.60,0.55,1.6800,1.4900,0.0000,3.10,,,,,,,,
FLX-SAM-742,"Samsung Galaxy S4 i9505 USB Charging Port Microphone Flex Cable REV 19",13.00,6.32,2.93,2.52,5.6700,4.1900,0.0000,,9.99,,,,,,,
SRN-SAM-254,"Galaxy S4 i9505 i337 M919 LCD + Touch Screen Digitizer with Frame - Marble White",380.00,6.89,8.90,56.44,17.5300,72.9900,0.0000,70.00,87.99,74.50,84.99,,,,,
SRN-SAM-260,"Galaxy S4 i545 L720 R970 LCD + Touch Screen Digitizer with Frame - White",50.00,1.00,0.00,50.00,17.5200,72.9900,0.0000,70.00,79.99,76.50,84.99,,,,,
SRN-HTC-552,"HTC One SV LCD + Touch Screen Digitizer - Black",30.00,6.43,5.39,5.50,9.9000,8.5300,0.0000,,,,31.99,,,,,
BTY-COV-142,"Samsung Galaxy S4 i9500/i9505 Battery Door - Black Mist - No Carrier Logo",7.00,6.70,3.72,1.60,3.0000,2.3900,0.0000,,,,3.99,,,,,
BTY-COV-146,"Samsung Galaxy S4 M919 T-Mobile Battery Door - Black Mist",8.00,6.85,3.03,1.61,3.7000,2.9800,0.0000,,,,3.99,,,,,
BTY-COV-150,"Samsung Galaxy S4 i545 Verizon Battery Door - Black Mist",9.00,6.32,1.89,1.72,3.9560,3.1900,0.0000,,,,3.99,,,,,
APL-003-1238,"Motherboard Interconnect Flex Cables for iPhone 5",4.00,6.50,1.78,0.89,1.4000,1.1900,0.0000,4.95,7.99,,1.99,,,,,
APL-003-1240,"Internal Loudspeaker for iPad 3 4",15.00,6.88,0.15,2.20,4.7025,3.4900,0.0000,,7.99,,5.99,,,,,
APL-003-1246,"FPC Battery Connector Clip for iPhone 4",2.00,6.50,1.41,0.52,2.9500,0.5900,0.0000,,,,3.99,,,,,
SRN-LGM-162,"LG Optimus G Pro E980 Touch Screen Digitizer",30.00,6.82,2.31,4.74,9.0100,7.5800,0.0000,,12.99,,,,,,,
SRN-SAM-326,"Galaxy Note 2 LCD + Digitizer Touch Screen - White - No Frame",360.00,6.89,5.33,53.02,15.9300,79.9900,0.0000,79.99,117.99,71.99,85.99,,,,,
APL-003-1252,"Top Bottom Glass Cover Replacement for iPhone 5S Black",4.00,6.70,2.17,0.92,2.0500,1.7900,0.0000,2.99,,,2.99,,,,,
APL-003-1254,"Top Bottom Glass Cover Replacement for iPhone 5S White",4.00,6.70,1.45,0.81,2.0500,1.7900,0.0000,2.99,,,2.99,,,,,
APL-003-1278,"Sim Card Tray for iPhone 5c Hot Pink",2.00,6.85,1.44,0.50,1.5000,1.2900,0.0000,1.99,3.99,,,,,,,
APL-003-1280,"Sim Card Tray for iPhone 5c Yellow",2.00,6.32,0.83,0.45,1.5750,0.9900,0.0000,1.99,3.99,,,,,,,
APL-003-1308,"Power Volume Flex Cable for iPhone 5S SE",9.00,6.88,1.13,1.47,3.9790,3.2900,0.0000,5.75,,3.99,4.99,,,,,
APL-003-1324,"Headphone Jack Board Flex Cable for iPad 3 4G",15.00,6.89,2.07,2.48,3.2600,2.5900,0.0000,17.95,14.99,9.50,10.99,,,,,
BTY-COV-168,"Samsung Galaxy S3 T999 Back Battery Door Cover - Pebble Blue",9.00,6.12,4.10,2.14,4.8150,3.5900,0.0000,,7.99,,,,,,,
SRN-LGM-170,"LG Optimus F7 US780 Touch Screen Digitizer - Black",40.00,6.50,1.24,6.34,11.1000,9.3900,0.0000,,14.99,,,,,,,
SRN-LGM-172,"LG Optimus G2 D800 D801 LCD + Touch Screen Digitizer Assembly - Black",65.00,6.89,14.29,11.51,31.9900,31.9900,0.0000,,39.99,33.98,36.99,,,,,
FLX-LGM-200,"LG Optimus G Pro E980 Charging Dock Port Connector Flex Cable",28.00,6.50,3.25,4.81,9.0440,7.6900,0.0000,,12.99,,,,,,,
