"Date Updated",User,SKU,"Item Name","Price Type","Old Price","New Price"
"2018-06-07 10:21:18",Jordan,BTY-COV-1747,"Middle Bezel Frame For Samsung Galaxy S7 Edge - Black","Default 1",$20.99,$25.00
"2018-06-07 10:21:35",Jordan,BTY-COV-1747,"Middle Bezel Frame For Samsung Galaxy S7 Edge - Black",Sale,$0.00,$11.09
"2018-06-07 10:39:56",Faheem,APL-003-1511,"Earpiece Speaker for iPhone 6 Plus","Platinum 1",$2.09,$2.45
"2018-06-07 10:42:33",Faheem,APL-003-1446,"Charging Dock Port & Headphone Jack Flex Cable for iPhone 6 Plus White",Sale,$4.69,$4.49
"2018-06-07 10:42:50",Faheem,APL-003-1446,"Charging Dock Port & Headphone Jack Flex Cable for iPhone 6 Plus White","Platinum 1",$5.73,$8.99
"2018-06-07 10:47:16",Faheem,APL-003-1466,"WIFi GPS Bluetooth Antenna for iPhone 6",Sale,$0.79,$0.69
"2018-06-07 10:47:47",Faheem,APL-003-1466,"WIFi GPS Bluetooth Antenna for iPhone 6",Sale,$0.69,$0.59
"2018-06-07 10:47:59",Faheem,APL-003-1466,"WIFi GPS Bluetooth Antenna for iPhone 6","Platinum 1",$1.69,$2.00
"2018-06-07 10:49:09",Faheem,APL-003-1502,"Charging Port with Flex Cable Earphone Jack and Mic for iPhone 6 Plus - Gray",Sale,$4.49,$4.09
"2018-06-07 10:50:54",Faheem,APL-003-1502,"Charging Port with Flex Cable Earphone Jack and Mic for iPhone 6 Plus - Gray","Platinum 1",$4.49,$8.99
"2018-06-07 10:50:56",Faheem,APL-003-1507,"Charging Port with Flex Cable Earphone Jack and Mic for iPhone 6 Plus - Dark Gray",Sale,$4.49,$4.09
"2018-06-07 10:50:56",Faheem,APL-003-1507,"Charging Port with Flex Cable Earphone Jack and Mic for iPhone 6 Plus - Dark Gray","Default 1",$5.87,$8.99
"2018-06-07 10:50:56",Faheem,APL-003-1507,"Charging Port with Flex Cable Earphone Jack and Mic for iPhone 6 Plus - Dark Gray","Platinum 1",$4.31,$8.99
"2018-06-07 10:56:34",Faheem,APL-003-1531,"Earpiece Speaker for iPhone 6",Sale,$0.99,$0.69
"2018-06-07 10:56:35",Faheem,APL-003-1531,"Earpiece Speaker for iPhone 6","Platinum 1",$2.69,$3.38
"2018-06-07 11:02:05",Faheem,APL-001-0282,"LCD and Touch Screen Digitizer for iPhone 4S White",Sale,$12.69,$12.09
"2018-06-07 11:02:05",Faheem,APL-001-0282,"LCD and Touch Screen Digitizer for iPhone 4S White","Default 1",$14.95,$17.95
"2018-06-07 11:02:05",Faheem,APL-001-0282,"LCD and Touch Screen Digitizer for iPhone 4S White","Platinum 1",$13.99,$17.95
