"Refund Date","RMA Number",Vendor,SKU,Title,Amount
2017-09-11,PP11729,bintektools,BTP610001,"BinTEK™ Small Quick Charge LipStick PowerBank Battery Charger 2000 mAH",1.99
2017-09-11,PP11729,bintektools,BTP610001,"BinTEK™ Small Quick Charge LipStick PowerBank Battery Charger 2000 mAH",1.99
2017-09-11,PP11729,bintektools,BTP610001,"BinTEK™ Small Quick Charge LipStick PowerBank Battery Charger 2000 mAH",1.99
2017-09-11,PP11729,bintektools,BTP610001,"BinTEK™ Small Quick Charge LipStick PowerBank Battery Charger 2000 mAH",1.99
2017-09-11,PP11729,bintektools,BTP610001,"BinTEK™ Small Quick Charge LipStick PowerBank Battery Charger 2000 mAH",1.99
2017-09-11,PP11729,bintektools,BTP610001,"BinTEK™ Small Quick Charge LipStick PowerBank Battery Charger 2000 mAH",1.99
2017-09-11,PP11729,bintektools,BTP610001,"BinTEK™ Small Quick Charge LipStick PowerBank Battery Charger 2000 mAH",1.99
2017-09-11,PP11729,bintektools,BTP610001,"BinTEK™ Small Quick Charge LipStick PowerBank Battery Charger 2000 mAH",1.99
2017-09-11,PP11729,bintektools,BTP610001,"BinTEK™ Small Quick Charge LipStick PowerBank Battery Charger 2000 mAH",1.99
2017-09-11,PP11682,"Alfie (Incoming)",SRN-LGM-643,"LCD and Touch Screen Digitizer with Frame for LG G3 - White",59.99
