"Date Added","Voucher Code",Vendor,SKU,Title,Amount
2017-08-21,PP11548R,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",24.4900
2017-08-21,PP11548R,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",24.4900
2017-08-21,PP11548R,Lanwell,APL-001-2279,"LCD and Touch Screen Digitizer for iPhone 7 - White (Standard)",30.9900
2017-08-21,PP11548R,Lanwell,APL-001-0730,"LCD Touch Screen Digitizer Assembly for iPhone 5S - Black (Economy Plus)",12.9900
2017-08-21,PP11548R,"DATAN INC",APL-001-0728,"LCD Touch Screen Digitizer Assembly for iPhone 5S - White (Economy Plus)",11.9900
2017-08-21,PP11548R,"Calvin LCT",APL-001-2136,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - White",18.9900
2017-08-21,PP11548R,"Calvin LCT",APL-001-2136,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - White",18.9900
2017-08-21,PP11548R,"Calvin LCT",APL-001-2311,"LCD and Digitizer Assembly for iPhone 6S Plus (Economy Plus) - Black",28.9900
2017-08-21,PP11548R,"DATAN INC",APL-001-2089,"LCD and Touch Screen Digitizer Assembly for iPhone 5C - Black (Premium)",19.9900
2017-08-21,PP11548R,"Calvin LCT",APL-001-2308,,17.4900
2017-08-21,PP11548R,"Calvin LCT",APL-001-2308,,17.4900
2017-08-21,PP11548R,Lanwell,APL-001-2309,,17.4900
2017-08-21,PP11548R,"Alfie (Incoming)",SRN-SAM-224,,59.9900
