"SKU Type","Qty Purchased","Avg Price Purchased","Qty Sold","Avg Price Sold"
ACC-APL,0,0,519,5.1935
ACC-HTC,0,0,0,0
ACC-SAM,0,0,14,6.7514
ACC-SKN,0,0,3,1.59
ACC-SNP,0,0,10,2.9586
ACC-ZED,4691,3.3146,8501,6.3549
ACC-ZRT,633,1.081,391,4.4597
APL-001,3910,21.3158,4484,38.8316
APL-002,101,2.5611,142,4.1742
APL-003,1544,2.1841,1134,4.5633
BINP,0,0,95,6.3749
BKB-MOD,40,1.791,0,0
BT-BP,1419,4.2562,3566,16.25
BT-SPX,970,0,461,8.0773
BTC,0,0,75,3.1689
BTE,0,0,4,23.8975
BTH,0,0,48,7.5152
BTP,0,0,56,7.9726
BTS,2087,0.6462,1529,0.9392
BTT,200,0.1493,101,7.0781
BTY-COV,445,4.0829,362,9.984
BTY-HTC,0,0,0,0
BTY-MOT,0,0,0,0
BTY-SAM,119,2.2687,12,7.8533
BTY-TAB,0,0,0,0
FLX-HTC,5,3.1387,99,6.7493
FLX-LGM,22,4.0744,14,8.0164
FLX-MOT,11,1.4054,19,3.9939
FLX-NOK,2,2.1898,3,5.1667
FLX-SAM,528,2.7542,419,6.5528
FLX-SNY,5,4.1791,1,5.9
FLX-TAB,0,0,2,7.79
FLX-UCP,2,0.5839,2,2.26
SRN-BLB,21,60.5839,26,53.483
SRN-HTC,41,26.1861,30,40.352
SRN-HUA,5,94.8905,2,115.69
SRN-LGM,170,27.5,100,50.184
SRN-MOT,69,51.6119,58,56.4925
SRN-NOK,6,28.4672,3,55.5567
SRN-ONP,2,19.708,3,61.94
SRN-SAM,1347,68.4568,1364,145.9854
SRN-SNY,7,21.6545,6,35.44
TAB-COV,0,0,0,0
TAB-SRN,30,60.0973,38,23.2676
