SKU,ItemName,"Raw Cost","True Cost",Default,D1,D3,D10,L1,L3,L10,B1,B3,B10,S1,S3,S10,G1,G3,G10,P1,P3,P10,Dm1,Dm3,Dm10,"is ignored?"
TAB-SRN-577,"Nextbook 8 Tablet Model NX008HD8G Display LCD Screen",90,14.8,22.2000,21.61,21.83,0,20.72,21.02,0,0,0,0,20.42,20.57,0,20.13,20.28,0,19.69,19.89,0,19.24,19.39,0,0
BT-BP-30026,"BinTEK™ HTC One M7 BN07100 2300mAH Li-Ion Premium Battery",16.5,3.07,6.8700,6.21,6.38,0,5.72,5.89,0,0,0,0,5.23,5.56,0,5.07,5.4,0,4.99,5.09,0,4.81,4.91,0,0
APL-001-2016,"LCD and Touch Screen Digitizer For ATT IPhone 4 Zebra - Grade B",0,0,16.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-2005,"LCD and Touch Screen Digitizer For IPhone 4S Black Dalmatian - Grade C",0,0,15.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-584,"Nextbook 8 Tablet NX008HD8G FO264 HXD Touch Screen Digitizer with Frame - Grade C",0,0,5.5700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BT-BP-30070,"BinTEK™ LG Nexus 5 BL-T9 2100mAH Li-Ion Premium Battery",16,2.84,6.7200,6.08,6.24,0,5.6,5.76,0,0,0,0,5.12,5.44,0,4.96,5.28,0,4.89,4.99,0,4.7,4.8,0,0
APL-003-1471,"Apple Iphone 4 4G Proximity Sensor UV Filter Stickers with Foam",0,0,6.9500,0.56,0.58,0,0.56,0.58,0,0,0,0,0.56,0.58,0,0.56,0.58,0,0.59,0.59,0,0.56,0.58,0,0
TAB-SRN-579,"Nextbook 8 Tablet Model NX008HD8G LCD Display Screen - Grade B",0,14.8,21.0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTY-COV-1506,"Nextbook 8 Tablet NX008HD8G Rear Housing with Battery Door - Grade C",0,0,5.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTY-COV-1505,"Nextbook 8 Tablet NX008HD8G Rear Housing with Battery Door - Grade B",0,0,9.8900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
