SKU,ItemName,"True Cost",Default,D1,D3,D10,L1,L3,L10,B1,B3,B10,S1,S3,S10,G1,G3,G10,P1,P3,P10,Dm1,Dm3,Dm10,"is ignored?"
APL-001-0278S,"LCD and Touch Screen Digitizer Full Set for iPhone 4S Black",0,22.9500,20.95,21.5,0,20.95,21.5,0,0,0,0,20.95,21.5,0,20.95,21.5,0,20.99,21.59,0,20.95,21.5,0,0
SRN-HTC-324K,"HTC One X+ Front Housing LCD + Touch Screen Digitizer with Tool Kit",0,31.9500,36.95,36.77,0,36.58,36.4,0,0,0,0,35.85,36.4,0,35.85,36.4,0,35.89,36.49,0,35.85,36.4,0,0
APL-001-0104S,"LCD and Touch Screen Digitizer Full Set for ATT iPhone 4  White",0,22.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-0098S,"LCD and Touch Screen Digitizer Full Set for ATT iPhone 4  Black",0,22.9500,20.95,21.5,0,20.95,21.5,0,0,0,0,20.95,21.5,0,20.95,21.5,0,20.99,21.59,0,20.95,21.5,0,0
APL-001-0188S,"LCD and Touch Screen Digitizer Full Set for Verizon/Sprint iPhone 4 Black",0,22.9500,20.95,21.5,0,20.95,21.5,0,0,0,0,20.95,21.5,0,20.95,21.5,0,20.99,21.59,0,20.95,21.5,0,0
APL-001-0194S,"LCD and Touch Screen Digitizer Full Set for Verizon/Sprint iPhone 4 White",0,22.9500,20.95,21.5,0,20.95,21.5,0,0,0,0,20.95,21.5,0,20.95,21.5,0,20.99,21.59,0,20.95,21.5,0,0
APL-001-0284S,"LCD and Touch Screen Digitizer Full Set for iPhone 4S White",0,22.9500,20.95,21.5,0,20.95,21.5,0,0,0,0,20.95,21.5,0,20.95,21.5,0,20.99,21.59,0,20.95,21.5,0,0
BND-APL-004,"LCD &amp; Digitizer with 12 Piece Repair Tool Kit for iPhone 4 GSM White",0,39.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BND-APL-006,"LCD &amp; Digitizer with 12 Piece Repair Tool Kit for iPhone 4 CDMA Black",0,39.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BND-APL-008,"LCD &amp; Digitizer with 12 Piece Repair Tool Kit for iPhone 4 CDMA White",0,39.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BND-APL-010,"LCD &amp; Digitizer with 12 Piece Repair Tool Kit for iPhone 4S Black",0,39.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BND-APL-012,"LCD &amp; Digitizer with 12 Piece Repair Tool Kit for iPhone 4S White",0,39.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BND-APL-014,"LCD &amp; Digitizer with 12 Piece Repair Tool Kit for iPhone 5 Black",0,69.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BND-APL-016,"LCD &amp; Digitizer with 12 Piece Repair Tool Kit for iPhone 5 White",0,69.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BND-APL-002,"LCD &amp; Digitizer with 12 Piece Repair Tool Kit for iPhone 4 GSM Black",0,39.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRN-SAM-614K,"Galaxy S5 i9600 G900A G900T G900V G900P LCD + Touch Screen Digitizer - White with Tool Kit",0,141.9500,149.95,149.95,0,149.95,149.95,0,0,0,0,149.95,149.95,0,149.95,149.95,0,149.99,149.99,0,149.95,149.95,0,0
SRN-SAM-1206K,"Samsung Galaxy Note 4 N910 N910A N910T  N910V N910P LCD Assembly - White with Tool Kit",0,159.9500,152.83,155.17,0,151.3,153.62,0,0,0,0,151.3,153.62,0,151.3,153.62,0,151.39,153.69,0,151.3,153.62,0,0
SRN-SAM-132K,"Galaxy S3 T999 i747 i535 L710 LCD + Touch Screen Digitizer - White with Tool Kit",0,79.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRN-SAM-210K,"Galaxy S3 T999 i747 i535 L710 LCD + Touch Screen Digitizer - Black with Tool Kit",0,73.9500,86.19,87.51,0,85.33,86.63,0,0,0,0,87.07,86.63,0,87.07,86.63,0,87.09,86.69,0,87.07,86.63,0,0
SRN-SAM-224K,"Galaxy S4 i9500 i9505 i337 i545 L720 M919 R970 LCD + Touch Screen Digitizer  - Black Mist  with Tool Kit",0,86.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-1240K,"LCD and Touch Screen Digitizer Assembly for iPhone 6 White with Tool Kit",0,79.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-0410K,"LCD Touch Screen Digitizer Assembly for iPhone 5 Black with Tool Kit",0,42.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRN-SAM-230K,"Galaxy S4 i9500 i9505 i337 i545 L720 M919 R970 LCD + Touch Screen Digitizer  - White with Tool Kit",0,86.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRN-SAM-686K,"Galaxy Note 3 N9000 N900A N900T N900P N900V LCD Digitizer Touch Screen Gray - New with Tool Kit",0,139.9500,180.27,183.03,0,178.47,181.2,0,0,0,0,178.47,181.2,0,178.47,181.2,0,178.49,181.29,0,178.47,181.2,0,0
APL-001-1242K,"LCD and Touch Screen Digitizer Assembly for iPhone 6 Plus Black with Tool Kit",0,82.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRN-SAM-248K,"Galaxy Note 2 LCD + Digitizer Touch Screen - Gray - No Frame with Tool Kit",0,112.9500,142.05,144.23,0,140.63,142.79,0,0,0,0,140.63,142.79,0,140.63,142.79,0,140.69,142.79,0,140.63,142.79,0,0
