"SKU Type","Qty Purchased","Avg Price Purchased","Qty Sold","Avg Price Sold","Total Cost","Total Price Sold","# Returns","Return Amount"
ACC-ZED,4691,3.3146,8501,6.3549,8994.22,13779.72,35,11.44
ACC-ZRT,633,1.081,391,4.4597,384.33,1341.87,3,7.58
APL-001,3910,21.3158,4484,38.8316,109749.87,149705.33,186,6661.58
APL-002,101,2.5611,142,4.1742,165.31,414.7,1,2.61
APL-003,1544,2.1841,1134,4.5633,2488.22,4884.63,8,50.04
BT-BP,1419,4.2562,3566,16.25,19361.19,50600.01,60,1065.88
BTS,2087,0.6462,1529,0.9392,1567.64,1436.04,23,0
BTT,200,0.1493,101,7.0781,25.37,710.48,0,0
BTY-COV,445,4.0829,362,9.984,1757.15,3619.36,4,42.95
BTY-SAM,119,2.2687,12,7.8533,4.55,52.27,1,15.99
FLX-HTC,5,3.1387,99,6.7493,328.43,669.86,1,6.89
FLX-LGM,22,4.0744,14,8.0164,40.17,112.23,0,0
FLX-MOT,11,1.4054,19,3.9939,20.12,75.36,1,2.19
FLX-NOK,2,2.1898,3,5.1667,6.95,15.5,0,0
FLX-SAM,528,2.7542,419,6.5528,1182.58,2614.45,16,104.23
FLX-SNY,5,4.1791,1,5.9,2.62,5.9,0,0
FLX-UCP,2,0.5839,2,2.26,1.89,4.52,0,0
SRN-BLB,21,60.5839,26,53.483,924.74,1418.62,0,0
SRN-HTC,41,26.1861,30,40.352,878.82,1210.56,5,141.24
SRN-HUA,5,94.8905,2,115.69,191.22,231.38,0,0
SRN-LGM,170,27.5,100,50.184,3814.44,5095.62,9,359.74
SRN-MOT,69,51.6119,58,56.4925,2349.04,3273.76,4,76.79
SRN-NOK,6,28.4672,3,55.5567,131.88,166.67,0,0
SRN-ONP,2,19.708,3,61.94,152.38,185.82,3,383.61
SRN-SAM,1347,68.4568,1364,145.9854,68879.2,121512.7,63,5816.15
SRN-SNY,7,21.6545,6,35.44,163.76,212.64,0,0
TAB-SRN,30,60.0973,38,23.2676,656.75,870.79,6,909.75
