SKU,ItemName,Raw Cost,True Cost,D1,D3,D10,L1,L3,L10,B1,B3,B10,S1,S3,S10,G1,G3,G10,P1,P3,P10,Dm1,Dm3,Dm10,"is ignored?,,,,,"
ACC-ZED-507,Samsung Galaxy Note 2 Premium Shatter-Proof Tempered Glass Screen Protector - Clear,1.5,0.51,3.99,2.99,1.99,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1
ACC-ZED-558,Samsung Galaxy S4 Premium Shatter-Proof Tempered Glass Screen Protector - Clear,1.5,0.51,3.99,2.99,1.99,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1
ACC-ZED-562,Samsung Galaxy Note 3 Premium Shatter-Proof Tempered Glass Screen Protector - Clear,1.5,0.56,3.99,2.99,1.99,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1
ACC-ZED-566,Samsung Galaxy S5 Premium Shatter-Proof Tempered Glass Screen Protector - Clear,1.5,0.22,3.99,2.99,1.99,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1
ACC-ZED-662,Shatter-Proof Tempered Glass Screen Protector for iPhone 6 Clear,1.5,0.22,3.99,2.99,1.99,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1
ACC-ZED-664,Shatter-Proof Tempered Glass Screen Protector for iPhone 6 Plus,1.5,0.76,3.99,2.99,1.99,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1
ACC-ZED-680,Premium Shatter-Proof Tempered Glass Screen Protector for Samsung Note 4,1.5,0.4,3.99,2.99,1.99,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1
ACC-ZED-725,SAMSUNG GALAXY S6 Premium Shatter-Proof Tempered Glass Screen Protector - Clear,2.5,0.6,3.99,2.99,1.99,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1
ACC-ZED-726,Explosion Proof Tempered Glass Screen Protector Apple iPad Air,12,2.14,8.99,7.99,6.99,6.99,6.79,5.99,6.99,6.79,5.99,6.99,6.79,5.99,6.99,6.79,5.99,6.99,6.79,5.99,6.99,6.79,5.99,1
ACC-ZED-727,Tempered Glass Screen Protector for iPod Touch 5,0,0,3.99,2.99,1.99,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1
ACC-ZED-753,iPad 2/3/4 Tempered Glass Screen Protector,12,2.17,8.99,7.99,6.99,6.99,6.79,5.99,6.99,6.79,5.99,6.99,6.79,5.99,6.99,6.79,5.99,6.99,6.79,5.99,6.99,6.79,5.99,1
ACC-ZED-775,Samsung Galaxy Note 5 Tempered Glass Screen Protector,1.5,0.36,3.99,2.99,1.99,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1
ACC-ZED-776,Shatter-Proof Tempered Glass Screen Protector for LG G4,1.5,0.36,3.99,2.99,1.99,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1
ACC-ZED-777,Apple iPhone 6/6S Tempered Glass Screen Protector with Cleaning Kit - Pack of 25,37.5,5.8,24.95,,,,,,,,,,,,,,,,,,,,,1
ACC-ZED-777,Apple iPhone 6/6S Tempered Glass Screen Protector with Cleaning Kit - Pack of 25,37.5,5.8,24.95,,,,,,,,,,,,,,,,,,,,,1
ACC-ZED-778,Apple iPhone 5/5S/SE Tempered Glass Screen Protector with Cleaning Kit - Pack of 25,35.5,5.18,24.95,,,,,,,,,,,,,,,,,,,,,1
ACC-ZED-779,iPhone 6 Plus /6S Plus Tempered Glass Screen Protector with Cleaning Kit - Pack of 25,40,5.84,26.95,,,,,,,,,,,,,,,,,,,,,1
ACC-ZED-780,Samsung Galaxy S7 Tempered Glass Screen Protector with Cleaning Kit - Pack of 25,38,6.13,29.95,,,,,,,,,,,,,,,,,,,,,1
ACC-ZED-780,Samsung Galaxy S7 Tempered Glass Screen Protector with Cleaning Kit - Pack of 25,38,6.13,29.95,,,,,,,,,,,,,,,,,,,,,1
ACC-ZED-786,Samsung Galaxy S6 Tempered Glass Screen Protector with Cleaning Kit - Pack of 25,38,6.61,26.95,,,,,,,,,,,,,,,,,,,,,1
ACC-ZED-791,Samsung Galaxy Note 4 Tempered Glass Screen Protector with Cleaning Kit - Pack of 25,37.5,6,29.95,,,,,,,,,,,,,,,,,,,,,1
ACC-ZED-792,Samsung Galaxy Note 5 Tempered Glass Screen Protector with Cleaning Kit - Pack of 25,37.5,6,29.95,,,,,,,,,,,,,,,,,,,,,1
ACC-ZED-793,Samsung S5 Active Tempered Glass,2.5,0.59,3.99,2.99,1.99,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1
ACC-ZED-795,Samsung Note 7 Tempered Glass Screen Protector with Cleaning Kit - Pack of 25,40,6.36,29.95,,,,,,,,,,,,,,,,,,,,,1
ACC-ZED-796,Samsung Galaxy Note 7 Premium Shatter-Proof Tempered Glass Screen Protector - Clear,1.6,0.46,3.99,2.99,1.99,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1
ACC-ZED-797,Apple iPhone 7 Tempered Glass Screen Protector with Cleaning Kit - Pack of 25,45,6.9,29.95,,,,,,,,,,,,,,,,,,,,,1
ACC-ZED-798,Apple iPhone 7 Premium Shatter-Proof Tempered Glass Screen Protector - Clear,1.6,0.56,3.99,2.99,1.99,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1.99,1.89,1.79,1
ACC-ZED-799,iPhone 7 Plus Tempered Glass Screen Protector,1.8,0.81,4.99,3.49,2.49,2.49,2.29,1.99,2.49,2.29,1.99,2.49,2.29,1.99,2.49,2.29,1.99,2.49,2.29,1.99,2.49,2.29,1.99,1
ACC-ZED-801,Apple iPhone 7 Plus Tempered Glass Screen Protector with Cleaning Kit - Pack of 25,0,0,29.95,,,,,,,,,,,,,,,,,,,,,1
BT-BP-30000,BinTEKÖ iPhone 3GS 1219mAH Li-Ion Premium Battery,20,5.48,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30000K,BinTEKÖ iPhone 3GS 1219mAH Li-Ion Premium Battery with Tools,0,0,10.99,,,,,,,,,,,,,,,,,,,,,1
BT-BP-30002,BinTEKÖ iPhone 4 1420mAH Li-Ion Premium Battery,21,3.86,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30002K,BinTEKÖ iPhone 4 1420mAH Li-Ion Premium Battery with Tools,0,0,10.99,,,,,,,,,,,,,,,,,,,,,1
BT-BP-30004,BinTEKÖ iPhone 4S 1430mAH Li-Ion Premium Battery,21,3.86,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30004K,BinTEKÖ iPhone 4S 1430mAH Li-Ion Premium Battery with Tools,0,0,10.99,,,,,,,,,,,,,,,,,,,,,1
BT-BP-30006,BinTEKÖ iPhone 5 1440mAH mAH Li-Ion Premium Battery,3.3,3.62,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30006K,BinTEKÖ iPhone 5 1440mAH mAH Li-Ion Premium Battery with Tools,0,0,10.99,,,,,,,,,,,,,,,,,,,,,
BT-BP-30008,BinTEKÖ iPhone 5S/5C 1560mAH Li-Ion Premium Battery,3.4,3.72,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30008K,BinTEKÖ iPhone 5S/5C 1560mAH Li-Ion Premium Battery with Tools,0,0,10.99,,,,,,,,,,,,,,,,,,,,,1
BT-BP-30010,BinTEKÖ iPhone 6  1810mAH Li-Ion Premium Battery,3.14,3.46,8.99,8.79,8.49,8.99,8.79,8.49,8.99,8.79,8.49,8.99,8.79,8.49,8.99,8.79,8.49,8.99,8.79,8.49,8.99,8.79,8.49,1
BT-BP-30010K,BinTEKÖ iPhone 6 1810mAH Li-Ion Premium Battery with Tools,0,0,11.99,,,,,,,,,,,,,,,,,,,,,1
BT-BP-30012,BinTEKÖ iPod Touch 5  1030mAH Li-Ion Premium Battery,20,3.08,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30012K,BinTEKÖ iPod Touch 5  1030mAH Li-Ion Premium Battery with Tools,0,0,10.99,,,,,,,,,,,,,,,,,,,,,1
BT-BP-30014,BinTEKÖ iPod Touch 2 789mAH Li-Ion Premium Battery,19,3.46,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30014K,BinTEKÖ iPod Touch 2 789mAH Li-Ion Premium Battery with Tools,0,0,10.99,,,,,,,,,,,,,,,,,,,,,1
BT-BP-30016,BinTEKÖ HTC Droid Incredible 2 BG32100 1450mAH Li-Ion Premium Battery,0,0,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30020,BinTEKÖ HTC myTouch 4G BD42100 1400mAH Li-Ion Premium Battery,11,2.54,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30022,BinTEKÖ HTC Vivid BH39100 1620mAH Li-Ion Premium Battery,11,2.2,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30024,BinTEKÖ HTC Droid Incredible 4G LTE BTR6410B 1700mAH Li-Ion Premium Battery,0,0,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30026,BinTEKÖ HTC One M7 BN07100 2300mAH Li-Ion Premium Battery,16.5,3.07,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,9.99,9.78,9.49,1
BT-BP-30026K,BinTEKÖ HTC One M7 BN07100 2300mAH Li-Ion Premium Battery with Tools,0,0,13.99,,,,,,,,,,,,,,,,,,,,,1
BT-BP-30028,BinTEKÖ LG Esteem MS910 BF-45FNV 1500mAH Li-Ion Premium Battery,18,3.32,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30030,BinTEKÖ LG Optimus 3D P920 Thrill P925 FL-53HN 1500mAH Li-Ion Premium Battery,20,3.58,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30032,BinTEKÖ LG Spectrum VS920 BL-49KH 1830mAH Li-Ion Premium Battery,0,0,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30034,BinTEKÖ LG Optimus 3D Max P9720 BL-48LN 1520mAH Li-Ion Premium Battery,14,2.66,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30036,BinTEKÖ LG Optimus G E970 LS970 BL-T5 2100mAH Premium Battery,16,3.2,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,1
BT-BP-30036K,BinTEKÖ LG Optimus G E970 LS970 BL-T5 2100mAH Premium Battery with Tools,0,0,14.99,,,,,,,,,,,,,,,,,,,,,1
BT-BP-30038,BinTEKÖ Motorola Atrix 4G MB860 BH6X 1880mAH Li-Ion Premium Battery,0,0,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30040,BinTEKÖ Motorola Droid Razr M/Droid Mini XT907 XT905 XT890 XT1030 EG30 2000mAH Li-Ion Premium Battery,23,4.21,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,1
BT-BP-30040K,BinTEKÖ Motorola Droid Razr M XT907 XT905 XT890 EG30 1940mAH Li-Ion Premium Battery with Tools,0,0,16.99,,,,,,,,,,,,,,,,,,,,,1
BT-BP-30042,BinTEKÖ Motorola Droid Razr MAXX XT912 EB40 3200mAH Li-Ion Premium Battery,19,3.55,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,1
BT-BP-30042K,BinTEKÖ Motorola Droid Razr MAXX XT926 EB40 3200mAH Li-Ion Premium Battery with Tools,0,0,16.99,,,,,,,,,,,,,,,,,,,,,1
BT-BP-30044,BinTEKÖ Motorola Droid 4 XT894 XT897 Photon Q EB41 1750mAH Lion Premium Battery,20,3.88,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,10.99,10.79,10.49,1
BT-BP-30044K,BinTEKÖ Motorola Droid 4 XT894 XT897 Photon Q EB41 1750mAH Lion Premium Battery with Tools,0,0,14.99,,,,,,,,,,,,,,,,,,,,,
BT-BP-30046,BinTEKÖ Motorola Droid MAXX XT1080M XT1080 EU40 3500mAH Li-Ion Premium Battery,26,4.63,13.99,13.79,13.49,13.99,13.79,13.49,13.99,13.79,13.49,13.99,13.79,13.49,13.99,13.79,13.49,13.99,13.79,13.49,13.99,13.79,13.49,1
BT-BP-30046K,BinTEKÖ Motorola Droid MAXX XT1080M XT1080 EU40 3500mAH Li-Ion Premium Battery with Tools,0,0,17.99,,,,,,,,,,,,,,,,,,,,,1
BT-BP-30050,BinTEKÖ Samsung Galaxy S Epic D700 EB575152LU 1650mAH Li-Ion Li-Ion Premium Battery,0,0,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
BT-BP-30052,BinTEKÖ Samsung Galaxy Nexus i9250 EB-L1F2HVU 1750mAH Li-Ion Premium Battery,14,2.7,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,7.99,7.79,7.49,1
