SKU,"Product Name",Cost,Price,"Mobile Sentrix Old Price","Mobile Sentrix Price","Mobile Sentrix Change","Mobile Sentrix Stock","Mobile Sentrix Url","Fixez Old Price","Fixez Price","Fixez Change","Fixez Stock","Fixez Url","Mengtor Old Price","Mengtor Price","Mengtor Change","Mengtor Stock","Mengtor Url","Mobile Defenders Old Price","Mobile Defenders Price","Mobile Defenders Change","Mobile Defenders Stock","Mobile Defenders Url"
,,0,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
" BTY-COV-1683"," BTY-COV-1683",0,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
" FLX-HUA-003"," FLX-HUA-003",0,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
089557100210,089557100210,2.75,5.2900,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0006,ACC-APL-0006,0.46,5.0900,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0024,ACC-APL-0024,0.46,5.0900,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0042,ACC-APL-0042,0.46,0.9700,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0054,ACC-APL-0054,2,3.7000,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0060,ACC-APL-0060,0.57,3.7900,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0066,ACC-APL-0066,0.57,3.7900,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0072,ACC-APL-0072,2.29,3.7900,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0078,ACC-APL-0078,2.29,3.7900,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0090,ACC-APL-0090,1.16,2.1900,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0096,ACC-APL-0096,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0102,ACC-APL-0102,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0114,ACC-APL-0114,1,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0120,ACC-APL-0120,1.42,2.6900,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0126,ACC-APL-0126,1.27,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0138,ACC-APL-0138,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0144,ACC-APL-0144,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0156,ACC-APL-0156,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0162,ACC-APL-0162,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0168,ACC-APL-0168,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0174,ACC-APL-0174,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0180,ACC-APL-0180,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0186,ACC-APL-0186,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0192,ACC-APL-0192,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0198,ACC-APL-0198,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0204,ACC-APL-0204,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0210,ACC-APL-0210,0.81,1.7900,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0216,ACC-APL-0216,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0222,ACC-APL-0222,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0228,ACC-APL-0228,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0234,ACC-APL-0234,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0240,ACC-APL-0240,0.69,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0246,ACC-APL-0246,1.56,2.8900,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0252,ACC-APL-0252,0.77,1.6900,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0258,ACC-APL-0258,0.5,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0276,ACC-APL-0276,0.5,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0282,ACC-APL-0282,0.5,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0294,ACC-APL-0294,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0300,ACC-APL-0300,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0306,ACC-APL-0306,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0312,ACC-APL-0312,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0324,ACC-APL-0324,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0330,ACC-APL-0330,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0336,ACC-APL-0336,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0342,ACC-APL-0342,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0366,ACC-APL-0366,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0372,ACC-APL-0372,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0378,ACC-APL-0378,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0384,ACC-APL-0384,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0396,ACC-APL-0396,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0402,ACC-APL-0402,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0414,ACC-APL-0414,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0432,ACC-APL-0432,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0444,ACC-APL-0444,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0456,ACC-APL-0456,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0462,ACC-APL-0462,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0468,ACC-APL-0468,0.98,2.0900,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0474,ACC-APL-0474,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0480,ACC-APL-0480,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0486,ACC-APL-0486,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0492,ACC-APL-0492,0.65,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0570,ACC-APL-0570,1.49,2.7900,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
ACC-APL-0576,ACC-APL-0576,1.49,2.7900,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,,0.00,0.00,100,Yes,
