SKU,Title,Quantity,"30 Days Item Sale","Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
APL-001-1962,"LCD Touch Screen Digitizer Assemby for iPhone 3GS without Proximity Sensor/Speaker with Bracket - Grade A",0,,0.00,0.00,0.00,0.00,14.9500,,0.0000,,,,,,,,,
APL-001-1966,"LCD Touch Screen Digitizer Assemby for iPhone 3GS without Proximity Sensor/Speaker with Bracket - Grade C",0,,0.00,0.00,0.00,0.00,12.9500,,0.0000,,,,,,,,,
APL-001-1964,"LCD Touch Screen Digitizer Assemby for iPhone 3GS without Proximity Sensor/Speaker with Bracket - Grade B",0,,0.00,0.00,0.00,0.00,13.9500,,0.0000,,,,,,,,,
APL-003-1330,"Home Button with Flex Cable for iPhone 5S - Silver",33,14,6.00,6.56,0.71,1.02,2.7900,2.7900,1.7900,1.79,2.50,1.95,2.99,3.05,1.99,,3.00,3.99
APL-003-1318,"WiFi & Bluetooth Antenna for iPhone 5c",4,,4.00,6.80,1.04,0.74,2.0300,1.7900,1.9900,2.99,2.00,,0.49,1.75,,2.25,3.00,3.99
APL-003-1320,"Mute Volume Power Metal Buttons for iPhone 5S Gray",10,,4.00,6.76,1.13,0.76,2.9520,2.2900,1.1900,1.99,,0.80,0.99,2.17,,,3.00,
APL-003-1324,"Headphone Jack Board Flex Cable for iPad 3 4G",7,1,80.00,6.87,1.56,11.87,18.3985,16.2600,11.9900,17.95,14.75,11.99,12.99,20.22,,,5.00,
BKB-MOD-004,"Blackberry Bold & Curve Trackball Scroll Ball - Black",4,,0.00,0.00,0.00,0.00,2.9500,2.9900,0.0000,,,,,,,,,
BKB-MOD-005,"Blackberry Bold & Curve Trackball Scroll Ball -White",108,,0.00,0.00,0.00,0.00,2.9500,2.9900,0.0000,,,,,,,,,
APL-003-1198,"Home Replacement Button With Rubber Bracket for iPhone 4S Black",5,,2.50,6.85,1.44,0.58,1.9750,1.6900,0.0000,,,,0.99,,,,,
APL-003-1234,"Charging Port Flex Cable Ribbon for Verizon/Sprint iPhone 4 White",42,,9.00,6.32,0.00,1.42,4.0000,3.2900,2.8900,2.99,3.50,,2.99,5.31,2.81,,5.00,
APL-003-1236,"Apple iPhone 4 Bluetooth WiFi Antenna for Verizon/Sprint CDMA",160,,0.00,0.00,0.00,0.00,3.9500,0.9900,1.1900,,,,,1.32,,,,
APL-003-1242,"WIFI Bluetooth Antenna Flex Cable for iPhone 4S",9,,2.00,6.88,2.20,0.61,1.5750,0.9900,0.8900,,2.50,,0.49,1.32,,,,
APL-003-1224,"Home Button Ribbon Flex Cable for iPhone 5",23,12,1.50,6.56,0.71,0.34,1.6800,1.0900,0.4900,0.49,1.50,0.45,0.99,0.76,0.49,1.75,1.00,
APL-003-1448,"WiFi/Bluetooth Antenna Flex for iPhone 6 Plus",28,7,2.00,6.73,1.29,0.49,2.0750,1.7900,1.1900,1.29,1.75,0.80,1.99,1.28,0.99,,1.50,
