SKU,"True Cost"
APL-001-2111,1.3
SRN-LGM-248,0
APL-001-2299,23
APL-001-2136,22
APL-001-2116,21.5
SRN-LGM-685,6.25
APL-001-2220,1.51
APL-001-1252,1.88
APL-001-2108,3.11
SRN-SAM-1457,150
APL-001-2229,2.47
SRN-LGM-312,0
APL-001-2107,3.17
APL-001-2310,31
APL-001-0282,4.89
APL-001-2280,106.4
SRN-BLB-073,5.16
SRN-SAM-244,1.44
APL-001-0728,9
APL-001-2211,49
SRN-HTC-294,6.36
SRN-HTC-578,20.4
SRN-SAM-1426,181.74
SRN-SAM-686,105.79
APL-001-2065,0
SRN-SAM-1404,12.42
SRN-SAM-246,1.44
APL-001-2202,13.25
APL-001-2222,4.44
SRN-LGM-222,0
SRN-MOT-312,0
SRN-SAM-1395,117.03
SRN-SAM-474,1.51
APL-001-0462,33.49
APL-001-2090,18
APL-001-2198,8.67
APL-001-2275,9.78
APL-001-2333,1.33
SRN-HTC-556,0
SRN-LGM-200,0
SRN-LGM-314,0
SRN-MOT-659,0
SRN-SAM-1331,146.5
SRN-SAM-316,1.88
APL-001-0018,5.23
APL-001-0102,10.41
APL-001-0186,12.18
APL-001-0594,10.72
APL-001-0702,0
APL-001-0914,21.15
APL-001-0974,0
APL-001-2047,108.13
APL-001-2089,18
APL-001-2100,51.55
APL-001-2189,95.8
APL-001-2197,8.67
APL-001-2200,11.79
APL-001-2201,11.79
APL-001-2203,80
APL-001-2257,103.4
APL-001-2311,30
SRN-BLB-024,37.82
SRN-HTC-168,5.04
SRN-HTC-396,0
SRN-HTC-498,0
SRN-HTC-516,0
SRN-HTC-552,5.5
SRN-HTC-600,0
SRN-LGM-090,0
SRN-LGM-114,0
SRN-LGM-180,0
SRN-LGM-216,0
SRN-LGM-298,0
SRN-LGM-310,0
SRN-LGM-627,12.99
SRN-LGM-630,44.83
SRN-LGM-677,0
SRN-MOT-294,0
SRN-MOT-300,0
SRN-MOT-332,0
SRN-MOT-410,0
SRN-MOT-606,48
SRN-MOT-615,90.8
SRN-MOT-683,36.61
SRN-NOK-062,3.69
SRN-NOK-070,17.64
SRN-PAN-006,0
SRN-SAM-1289,1.74
SRN-SAM-1338,134.6
SRN-SAM-1351,86.85
SRN-SAM-1390,6.35
SRN-SAM-1422,8.02
SRN-SAM-1427,1.04
SRN-SAM-1434,2.15
SRN-SAM-1489,0
SRN-SAM-224,52.09
SRN-SAM-230,51.98
SRN-SAM-256,61.32
SRN-SAM-258,56.33
SRN-SAM-464,16.5
TAB-SRN-004,0
TAB-SRN-230,0
TAB-SRN-334,0
TAB-SRN-386,8.05
TAB-SRN-392,8.41
TAB-SRN-516,0
TAB-SRN-566,0
TAB-SRN-573,8.41
TAB-SRN-662,13.97
TAB-SRN-757,9.99
APL-001-0042,0
APL-001-0090,0
APL-001-0410,9
APL-001-0411,9.47
APL-001-0482,6.57
APL-001-0518,13.41
APL-001-0558,0
APL-001-0564,0
APL-001-0718,40.46
APL-001-0936,0
APL-001-0948,0
APL-001-0950,0
APL-001-1010,0
APL-001-1238,21.56
APL-001-1240,21.56
APL-001-1242,33.82
APL-001-1254,1.88
APL-001-1256,2.01
APL-001-1722,4.3
APL-001-1946,0
APL-001-2092,27.55
